time,sym,src,price,size
2023-04-21D08:03:31.399000000,NOK,N,31.07,181
2023-04-21D08:03:32.626000000,GOOG,L,41.65,4347
2023-04-21D08:03:32.677000000,ORCL,O,33.03,13
2023-04-21D08:03:38.476000000,IBM,L,47.53,490
2023-04-21D08:03:39.367000000,AAPL,L,25.28,2198
2023-04-21D08:03:40.262000000,NOK,L,31.06,2510
2023-04-21D08:03:45.908000000,CSCO,N,37.4,6961
2023-04-21D08:03:47.144000000,IBM,N,47.55,1476
2023-04-21D08:03:47.467000000,DELL,O,28.44,73
2023-04-21D08:03:47.944000000,NOK,L,31.09,231
2023-04-21D08:03:50.889000000,MSFT,N,34.45,3327
2023-04-21D08:03:51.208000000,AAPL,N,25.33,5184
2023-04-21D08:03:51.225000000,CSCO,L,37.36,1952
2023-04-21D08:03:54.089000000,IBM,O,47.56,433
2023-04-21D08:03:56.063000000,CSCO,L,37.43,5553
2023-04-21D08:03:57.981000000,IBM,L,47.58,887
2023-04-21D08:03:58.236000000,YHOO,N,35.57,360
2023-04-21D08:04:02.488000000,MSFT,O,34.38,977
2023-04-21D08:04:03.410000000,NOK,O,31.03,2390
2023-04-21D08:04:03.797000000,DELL,N,28.48,3665
2023-04-21D08:04:07.850000000,CSCO,N,37.42,220
2023-04-21D08:04:08.222000000,ORCL,O,33.01,7408
2023-04-21D08:04:08.580000000,CSCO,O,37.43,5245
2023-04-21D08:04:22.502000000,IBM,O,47.55,886
2023-04-21D08:04:23.457000000,MSFT,O,34.39,973
2023-04-21D08:04:23.998000000,ORCL,N,33.02,2249
2023-04-21D08:04:24.951000000,GOOG,N,41.59,4320
2023-04-21D08:04:31.277000000,ORCL,L,33.01,1927
2023-04-21D08:04:31.902000000,IBM,O,47.59,1894
2023-04-21D08:04:32.344000000,ORCL,O,33.01,3009
2023-04-21D08:04:32.763000000,IBM,O,47.58,2194
2023-04-21D08:04:33.262000000,AAPL,O,25.32,1707
2023-04-21D08:04:35.237000000,CSCO,O,37.44,727
2023-04-21D08:04:35.398000000,IBM,L,47.58,510
2023-04-21D08:04:41.759000000,DELL,L,28.43,3027
2023-04-21D08:04:49.456000000,ORCL,N,32.97,6863
2023-04-21D08:04:58.765000000,YHOO,N,35.6,457
2023-04-21D08:05:02.517000000,MSFT,N,34.39,401
2023-04-21D08:05:02.748000000,IBM,O,47.56,2453
2023-04-21D08:05:10.771000000,AAPL,L,25.3,1407
2023-04-21D08:05:11.104000000,AAPL,L,25.25,1557
2023-04-21D08:05:11.257000000,MSFT,O,34.42,112
2023-04-21D08:05:14.751000000,MSFT,O,34.41,449
2023-04-21D08:05:14.795000000,IBM,L,47.56,8145
2023-04-21D08:05:15.548000000,YHOO,N,35.65,1835
2023-04-21D08:05:20.826000000,AAPL,O,25.27,1416
2023-04-21D08:05:28.333000000,DELL,L,28.42,9092
2023-04-21D08:05:35.717000000,CSCO,L,37.33,1791
2023-04-21D08:05:36.135000000,YHOO,O,35.64,7048
2023-04-21D08:05:40.602000000,CSCO,L,37.36,1822
2023-04-21D08:05:41.043000000,DELL,O,28.44,5888
2023-04-21D08:05:49.512000000,DELL,L,28.42,344
2023-04-21D08:05:53.219000000,NOK,L,31.04,1324
2023-04-21D08:06:04.676000000,CSCO,N,37.33,1368
2023-04-21D08:06:07.983000000,ORCL,L,33.02,822
2023-04-21D08:06:09.466000000,CSCO,O,37.31,174
2023-04-21D08:06:12.754000000,CSCO,N,37.29,916
2023-04-21D08:06:16.204000000,DELL,L,28.46,3962
2023-04-21D08:06:18.650000000,NOK,L,31.11,4933
2023-04-21D08:06:21.611000000,YHOO,N,35.61,1849
2023-04-21D08:06:25.850000000,DELL,O,28.45,2223
2023-04-21D08:06:27.296000000,IBM,O,47.52,1670
2023-04-21D08:06:27.367000000,ORCL,O,33.04,4265
2023-04-21D08:06:30.198000000,MSFT,L,34.34,5370
2023-04-21D08:06:31.584000000,NOK,O,31.1,790
2023-04-21D08:06:33.175000000,MSFT,L,34.34,4339
2023-04-21D08:06:34.278000000,ORCL,O,33.11,2505
2023-04-21D08:06:34.965000000,AAPL,N,25.23,1516
2023-04-21D08:06:41.443000000,NOK,N,31.12,3756
2023-04-21D08:06:43.586000000,YHOO,O,35.61,2597
2023-04-21D08:06:49.187000000,YHOO,N,35.56,8218
2023-04-21D08:06:49.391000000,MSFT,N,34.34,2428
2023-04-21D08:06:50.705000000,MSFT,N,34.34,2482
2023-04-21D08:06:57.814000000,MSFT,O,34.34,5598
2023-04-21D08:06:58.387000000,MSFT,O,34.32,1361
2023-04-21D08:07:02.387000000,GOOG,N,41.47,223
2023-04-21D08:07:05.882000000,YHOO,O,35.56,2413
2023-04-21D08:07:08.443000000,AAPL,N,25.26,3192
2023-04-21D08:07:10.533000000,CSCO,L,37.22,1093
2023-04-21D08:07:13.007000000,GOOG,O,41.5,0
2023-04-21D08:07:16.069000000,ORCL,N,33.16,103
2023-04-21D08:07:16.202000000,DELL,L,28.46,204
2023-04-21D08:07:20.709000000,GOOG,N,41.52,481
2023-04-21D08:07:28.649000000,CSCO,L,37.15,42
2023-04-21D08:07:30.319000000,CSCO,L,37.15,156
2023-04-21D08:07:36.322000000,DELL,O,28.42,4088
2023-04-21D08:07:38.506000000,ORCL,N,33.16,3341
2023-04-21D08:07:39.065000000,IBM,O,47.58,2804
2023-04-21D08:07:44.305000000,IBM,O,47.61,1871
2023-04-21D08:07:44.538000000,DELL,N,28.43,1167
2023-04-21D08:07:46.622000000,CSCO,O,37.24,1130
2023-04-21D08:07:50.751000000,AAPL,N,25.25,191
2023-04-21D08:07:51.503000000,NOK,L,31.06,315
2023-04-21D08:07:52.536000000,MSFT,O,34.35,1323
2023-04-21D08:08:01.422000000,GOOG,N,41.51,8763
2023-04-21D08:08:02.468000000,YHOO,L,35.57,318
2023-04-21D08:08:14.345000000,MSFT,O,34.37,3861
2023-04-21D08:08:17.951000000,DELL,L,28.48,702
2023-04-21D08:08:21.306000000,MSFT,L,34.32,1085
2023-04-21D08:08:21.511000000,AAPL,L,25.25,660
2023-04-21D08:08:24.489000000,AAPL,N,25.28,904
2023-04-21D08:08:30.168000000,YHOO,O,35.6,438
2023-04-21D08:08:31.448000000,ORCL,N,33.21,522
2023-04-21D08:08:33.475000000,ORCL,N,33.21,313
2023-04-21D08:08:33.570000000,NOK,N,31.12,3830
2023-04-21D08:08:36.536000000,IBM,L,47.53,2850
2023-04-21D08:08:37.891000000,MSFT,O,34.33,4089
2023-04-21D08:08:41.776000000,IBM,L,47.56,2226
2023-04-21D08:08:42.573000000,NOK,L,31.13,484
2023-04-21D08:08:43.338000000,CSCO,L,37.15,5026
2023-04-21D08:08:52.634000000,MSFT,N,34.32,7539
2023-04-21D08:08:54.592000000,YHOO,N,35.56,7579
2023-04-21D08:08:55.540000000,IBM,N,47.57,149
2023-04-21D08:08:55.939000000,YHOO,O,35.56,1904
2023-04-21D08:08:59.282000000,DELL,N,28.51,8009
2023-04-21D08:09:00.284000000,NOK,L,31.11,2436
2023-04-21D08:09:00.897000000,GOOG,L,41.49,3044
2023-04-21D08:09:02.903000000,ORCL,L,33.21,7692
2023-04-21D08:09:04.945000000,DELL,N,28.51,6400
2023-04-21D08:09:09.706000000,CSCO,N,37.23,7193
2023-04-21D08:09:10.171000000,MSFT,O,34.34,3780
2023-04-21D08:09:12.789000000,DELL,L,28.48,2130
2023-04-21D08:09:15.657000000,CSCO,N,37.26,1146
2023-04-21D08:09:16.033000000,GOOG,L,41.5,1333
2023-04-21D08:09:22.278000000,YHOO,O,35.61,755
2023-04-21D08:09:24.261000000,GOOG,N,41.54,1381
2023-04-21D08:09:26.399000000,DELL,L,28.51,686
2023-04-21D08:09:27.775000000,MSFT,O,34.3,1268
2023-04-21D08:09:30.661000000,ORCL,N,33.23,843
2023-04-21D08:09:32.732000000,NOK,L,31.03,5897
2023-04-21D08:09:33.938000000,MSFT,O,34.3,1408
2023-04-21D08:09:34.701000000,ORCL,N,33.24,1363
2023-04-21D08:09:38.428000000,GOOG,L,41.53,3495
2023-04-21D08:09:41.188000000,AAPL,L,25.22,7626
2023-04-21D08:09:42.703000000,MSFT,L,34.34,5397
2023-04-21D08:09:44.912000000,MSFT,O,34.33,2304
2023-04-21D08:09:45.128000000,CSCO,L,37.23,2231
2023-04-21D08:09:47.693000000,DELL,L,28.55,1961
2023-04-21D08:09:56.283000000,NOK,O,31.06,3052
2023-04-21D08:10:02.426000000,IBM,L,47.54,2558
2023-04-21D08:10:03.204000000,CSCO,L,37.2,404
2023-04-21D08:10:03.693000000,DELL,N,28.53,448
2023-04-21D08:10:14.970000000,NOK,O,31.01,442
2023-04-21D08:10:15.537000000,NOK,L,31.05,6817
2023-04-21D08:10:17.404000000,AAPL,N,25.26,2855
2023-04-21D08:10:19.560000000,AAPL,N,25.23,2188
2023-04-21D08:10:19.641000000,YHOO,N,35.57,427
2023-04-21D08:10:20.961000000,IBM,O,47.6,1342
2023-04-21D08:10:24.757000000,YHOO,N,35.56,3936
2023-04-21D08:10:27.749000000,NOK,O,31.02,5343
2023-04-21D08:10:29.770000000,AAPL,O,25.22,5601
2023-04-21D08:10:31.845000000,CSCO,L,37.24,173
2023-04-21D08:10:33.554000000,MSFT,L,34.33,779
2023-04-21D08:10:35.750000000,DELL,L,28.55,1364
2023-04-21D08:10:49.093000000,AAPL,L,25.24,2572
2023-04-21D08:10:49.105000000,GOOG,L,41.51,5372
2023-04-21D08:10:51.619000000,AAPL,L,25.24,526
2023-04-21D08:10:52.425000000,MSFT,O,34.38,1004
2023-04-21D08:10:53.378000000,MSFT,O,34.38,6797
2023-04-21D08:10:58.678000000,ORCL,L,33.31,3467
2023-04-21D08:11:02.060000000,MSFT,N,34.4,2466
2023-04-21D08:11:05.333000000,GOOG,L,41.49,1063
2023-04-21D08:11:05.593000000,CSCO,O,37.16,1636
2023-04-21D08:11:09.105000000,DELL,O,28.6,847
2023-04-21D08:11:09.344000000,CSCO,O,37.16,1275
2023-04-21D08:11:10.625000000,AAPL,O,25.26,1807
2023-04-21D08:11:12.947000000,GOOG,L,41.51,2838
2023-04-21D08:11:14.656000000,ORCL,N,33.21,158
2023-04-21D08:11:14.971000000,AAPL,N,25.27,1117
2023-04-21D08:11:15.651000000,AAPL,N,25.22,3834
2023-04-21D08:11:18.107000000,GOOG,N,41.53,372
2023-04-21D08:11:20.030000000,YHOO,L,35.59,7009
2023-04-21D08:11:21.316000000,MSFT,L,34.36,2402
2023-04-21D08:11:30.399000000,ORCL,O,33.21,6950
2023-04-21D08:11:30.773000000,MSFT,N,34.38,1307
2023-04-21D08:11:31.146000000,ORCL,N,33.19,6794
2023-04-21D08:11:31.162000000,DELL,L,28.59,98
2023-04-21D08:11:36.735000000,MSFT,O,34.37,554
2023-04-21D08:11:40.662000000,DELL,N,28.6,1007
2023-04-21D08:11:42.940000000,CSCO,O,37.17,4312
2023-04-21D08:11:50.053000000,NOK,O,30.92,4583
2023-04-21D08:11:50.666000000,MSFT,L,34.38,1331
2023-04-21D08:11:52.643000000,GOOG,L,41.57,3282
2023-04-21D08:11:53.350000000,IBM,L,47.64,2808
2023-04-21D08:11:54.025000000,AAPL,N,25.28,962
2023-04-21D08:12:05.664000000,YHOO,L,35.57,3987
2023-04-21D08:12:08.359000000,MSFT,L,34.33,3913
2023-04-21D08:12:10.352000000,IBM,O,47.68,980
2023-04-21D08:12:10.898000000,YHOO,L,35.6,179
2023-04-21D08:12:10.951000000,CSCO,L,37.25,985
2023-04-21D08:12:11.056000000,CSCO,L,37.28,635
2023-04-21D08:12:11.937000000,IBM,N,47.65,455
2023-04-21D08:12:13.454000000,AAPL,O,25.31,1531
2023-04-21D08:12:17.061000000,IBM,L,47.66,580
2023-04-21D08:12:22.061000000,MSFT,O,34.36,94
2023-04-21D08:12:29.942000000,IBM,L,47.64,7968
2023-04-21D08:12:30.727000000,YHOO,N,35.62,1033
2023-04-21D08:12:32.869000000,MSFT,N,34.36,5376
2023-04-21D08:12:36.865000000,GOOG,L,41.5,2223
2023-04-21D08:12:40.918000000,AAPL,L,25.3,2533
2023-04-21D08:12:44.895000000,MSFT,N,34.37,809
2023-04-21D08:12:46.046000000,MSFT,N,34.41,272
2023-04-21D08:12:48.896000000,CSCO,N,37.28,3096
2023-04-21D08:12:49.218000000,GOOG,L,41.51,5343
2023-04-21D08:12:50.056000000,DELL,O,28.56,1243
2023-04-21D08:12:50.182000000,AAPL,O,25.37,1270
2023-04-21D08:12:51.344000000,GOOG,O,41.5,2052
2023-04-21D08:12:54.824000000,ORCL,O,33.27,3424
2023-04-21D08:12:57.570000000,NOK,O,30.97,896
2023-04-21D08:12:58.807000000,GOOG,N,41.5,2801
2023-04-21D08:13:08.060000000,ORCL,L,33.3,5000
2023-04-21D08:13:10.620000000,AAPL,O,25.35,1058
2023-04-21D08:13:10.672000000,MSFT,N,34.39,3456
2023-04-21D08:13:12.296000000,AAPL,O,25.35,1596
2023-04-21D08:13:16.605000000,DELL,O,28.59,1658
2023-04-21D08:13:16.950000000,IBM,N,47.62,1382
2023-04-21D08:13:23.835000000,AAPL,O,25.34,1356
2023-04-21D08:13:25.523000000,AAPL,N,25.36,420
2023-04-21D08:13:25.900000000,AAPL,N,25.36,783
2023-04-21D08:13:27.462000000,AAPL,L,25.37,800
2023-04-21D08:13:30.377000000,GOOG,N,41.51,1865
2023-04-21D08:13:32.986000000,GOOG,N,41.47,1993
2023-04-21D08:13:38.224000000,YHOO,N,35.62,527
2023-04-21D08:13:38.400000000,NOK,O,30.97,776
2023-04-21D08:13:39.898000000,ORCL,N,33.34,3081
2023-04-21D08:13:42.940000000,MSFT,L,34.38,1348
2023-04-21D08:13:48.520000000,YHOO,O,35.64,21
2023-04-21D08:13:50.727000000,YHOO,O,35.66,4821
2023-04-21D08:13:58.211000000,NOK,L,30.94,1428
2023-04-21D08:13:59.370000000,CSCO,L,37.28,2903
2023-04-21D08:13:59.853000000,YHOO,L,35.61,2276
2023-04-21D08:14:02.368000000,AAPL,N,25.34,1547
2023-04-21D08:14:05.842000000,YHOO,L,35.66,1240
2023-04-21D08:14:14.529000000,GOOG,N,41.54,2964
2023-04-21D08:14:14.656000000,YHOO,O,35.67,314
2023-04-21D08:14:16.468000000,ORCL,O,33.35,1137
2023-04-21D08:14:17.247000000,IBM,O,47.6,1107
2023-04-21D08:14:19.260000000,AAPL,N,25.33,3032
2023-04-21D08:14:24.994000000,IBM,O,47.61,2941
2023-04-21D08:14:25.387000000,NOK,N,30.95,94
2023-04-21D08:14:33.515000000,ORCL,O,33.36,1369
2023-04-21D08:14:37.587000000,AAPL,N,25.34,2218
2023-04-21D08:14:40.730000000,CSCO,L,37.31,2952
2023-04-21D08:14:41.025000000,YHOO,N,35.71,707
2023-04-21D08:14:42.063000000,MSFT,N,34.33,767
2023-04-21D08:14:45.384000000,IBM,L,47.63,1000
2023-04-21D08:14:48.924000000,CSCO,N,37.28,4606
2023-04-21D08:14:50.273000000,YHOO,L,35.75,4178
2023-04-21D08:14:50.494000000,NOK,N,30.96,2904
2023-04-21D08:14:56.667000000,CSCO,L,37.28,2668
2023-04-21D08:15:02.587000000,NOK,O,30.96,3513
2023-04-21D08:15:14.825000000,CSCO,L,37.29,3733
2023-04-21D08:15:16.117000000,GOOG,O,41.48,2467
2023-04-21D08:15:16.821000000,AAPL,N,25.34,4274
2023-04-21D08:15:25.200000000,ORCL,L,33.4,433
2023-04-21D08:15:26.173000000,IBM,N,47.63,2939
2023-04-21D08:15:29.215000000,YHOO,L,35.68,800
2023-04-21D08:15:30.850000000,MSFT,O,34.4,3989
2023-04-21D08:15:36.012000000,GOOG,O,41.5,2627
2023-04-21D08:15:38.150000000,NOK,L,31,8081
2023-04-21D08:15:40.414000000,YHOO,N,35.68,37
2023-04-21D08:15:42.881000000,YHOO,N,35.66,2823
2023-04-21D08:15:43.060000000,GOOG,O,41.52,1210
2023-04-21D08:15:46.104000000,AAPL,L,25.31,1042
2023-04-21D08:15:49.680000000,ORCL,L,33.42,395
2023-04-21D08:15:53.406000000,YHOO,N,35.68,182
2023-04-21D08:15:54.115000000,AAPL,N,25.28,129
2023-04-21D08:15:56.450000000,YHOO,N,35.71,1434
2023-04-21D08:16:01.105000000,ORCL,L,33.45,6087
2023-04-21D08:16:05.302000000,MSFT,O,34.36,139
2023-04-21D08:16:06.407000000,GOOG,O,41.57,2205
2023-04-21D08:16:06.752000000,ORCL,N,33.43,1924
2023-04-21D08:16:07.502000000,AAPL,N,25.29,2963
2023-04-21D08:16:08.030000000,NOK,O,30.99,4200
2023-04-21D08:16:08.145000000,MSFT,O,34.36,4757
2023-04-21D08:16:23.632000000,MSFT,N,34.42,5790
2023-04-21D08:16:24.235000000,NOK,O,30.98,695
2023-04-21D08:16:26.137000000,GOOG,O,41.56,1090
2023-04-21D08:16:29.293000000,NOK,O,30.98,56
2023-04-21D08:16:31.407000000,MSFT,L,34.42,320
2023-04-21D08:16:34.756000000,ORCL,O,33.45,4380
2023-04-21D08:16:41.193000000,CSCO,O,37.4,580
2023-04-21D08:16:44.561000000,YHOO,O,35.67,365
2023-04-21D08:16:46.010000000,GOOG,O,41.57,385
2023-04-21D08:16:49.365000000,DELL,L,28.53,333
2023-04-21D08:16:49.700000000,DELL,L,28.51,4046
2023-04-21D08:16:49.871000000,MSFT,N,34.49,2336
2023-04-21D08:16:49.972000000,MSFT,N,34.49,810
2023-04-21D08:16:54.992000000,GOOG,N,41.6,171
2023-04-21D08:16:57.111000000,YHOO,L,35.67,2306
2023-04-21D08:17:07.967000000,GOOG,N,41.6,5937
2023-04-21D08:17:09.618000000,YHOO,L,35.7,167
2023-04-21D08:17:15.402000000,NOK,O,30.92,2854
2023-04-21D08:17:16.022000000,YHOO,N,35.71,7576
2023-04-21D08:17:17.585000000,AAPL,L,25.27,5640
2023-04-21D08:17:22.050000000,CSCO,L,37.43,557
2023-04-21D08:17:25.145000000,NOK,L,30.93,409
2023-04-21D08:17:30.906000000,YHOO,L,35.67,2636
2023-04-21D08:17:36.021000000,AAPL,L,25.32,949
2023-04-21D08:17:36.241000000,NOK,N,30.92,2557
2023-04-21D08:17:38.405000000,MSFT,N,34.47,4750
2023-04-21D08:17:39.402000000,IBM,L,47.63,12
2023-04-21D08:17:40.040000000,YHOO,O,35.71,4115
2023-04-21D08:17:42.743000000,IBM,O,47.57,2527
2023-04-21D08:17:43.571000000,ORCL,L,33.5,4035
2023-04-21D08:17:51.011000000,MSFT,L,34.46,3468
2023-04-21D08:17:56.451000000,NOK,O,30.87,2513
2023-04-21D08:18:01.522000000,CSCO,O,37.43,5674
2023-04-21D08:18:05.987000000,GOOG,L,41.63,677
2023-04-21D08:18:16.650000000,YHOO,N,35.69,157
2023-04-21D08:18:18.129000000,DELL,N,28.6,8558
2023-04-21D08:18:23.743000000,NOK,L,30.82,4106
2023-04-21D08:18:26.600000000,AAPL,N,25.34,2720
2023-04-21D08:18:28.709000000,AAPL,N,25.37,5657
2023-04-21D08:18:31.898000000,DELL,N,28.55,314
2023-04-21D08:18:34.337000000,IBM,L,47.48,1005
2023-04-21D08:18:34.510000000,CSCO,L,37.33,225
2023-04-21D08:18:38.925000000,YHOO,O,35.71,1772
2023-04-21D08:18:39.553000000,ORCL,L,33.4,4883
2023-04-21D08:18:45.785000000,DELL,L,28.57,2224
2023-04-21D08:18:48.028000000,AAPL,N,25.33,5573
2023-04-21D08:18:49.573000000,GOOG,L,41.64,1266
2023-04-21D08:18:54.829000000,YHOO,N,35.71,4824
2023-04-21D08:18:55.100000000,YHOO,N,35.73,811
2023-04-21D08:18:56.732000000,GOOG,L,41.69,2008
2023-04-21D08:19:00.503000000,MSFT,O,34.39,4633
2023-04-21D08:19:03.202000000,CSCO,N,37.28,7545
2023-04-21D08:19:03.727000000,GOOG,L,41.68,2362
2023-04-21D08:19:03.736000000,AAPL,O,25.36,6643
2023-04-21D08:19:06.279000000,GOOG,N,41.69,494
2023-04-21D08:19:12.440000000,GOOG,L,41.72,2925
2023-04-21D08:19:12.745000000,NOK,N,30.84,7297
2023-04-21D08:19:12.950000000,NOK,N,30.87,472
2023-04-21D08:19:15.850000000,AAPL,O,25.32,4413
2023-04-21D08:19:17.745000000,GOOG,O,41.71,8272
2023-04-21D08:19:30.753000000,CSCO,O,37.28,8195
2023-04-21D08:19:33.861000000,IBM,L,47.37,2869
2023-04-21D08:19:38.684000000,NOK,O,30.83,1836
2023-04-21D08:19:39.016000000,DELL,N,28.62,965
2023-04-21D08:19:39.676000000,IBM,O,47.34,1949
2023-04-21D08:19:42.294000000,GOOG,L,41.69,671
2023-04-21D08:19:45.785000000,CSCO,L,37.29,663
2023-04-21D08:19:47.846000000,AAPL,N,25.36,1334
2023-04-21D08:19:47.933000000,NOK,L,30.81,7591
2023-04-21D08:19:48.291000000,AAPL,O,25.36,1111
2023-04-21D08:19:56.314000000,AAPL,O,25.35,5850
2023-04-21D08:19:58.021000000,IBM,O,47.4,531
2023-04-21D08:19:59.721000000,CSCO,L,37.27,1817
2023-04-21D08:20:01.321000000,AAPL,O,25.38,2455
2023-04-21D08:20:05.303000000,NOK,L,30.83,2814
2023-04-21D08:20:10.611000000,ORCL,N,33.38,207
2023-04-21D08:20:12.279000000,DELL,N,28.6,6776
2023-04-21D08:20:13.827000000,MSFT,L,34.38,706
2023-04-21D08:20:14.817000000,GOOG,N,41.68,2285
2023-04-21D08:20:17.830000000,IBM,L,47.38,2412
2023-04-21D08:20:21.165000000,NOK,L,30.79,1726
2023-04-21D08:20:22.045000000,DELL,L,28.6,5744
2023-04-21D08:20:22.353000000,ORCL,O,33.37,58
2023-04-21D08:20:23.280000000,DELL,L,28.62,2462
2023-04-21D08:20:24.904000000,IBM,L,47.33,4970
2023-04-21D08:20:32.868000000,ORCL,O,33.4,7940
2023-04-21D08:20:34.687000000,DELL,O,28.65,6264
2023-04-21D08:20:37.930000000,ORCL,N,33.35,689
2023-04-21D08:20:40.250000000,ORCL,N,33.4,2020
2023-04-21D08:20:41.283000000,ORCL,N,33.37,1876
2023-04-21D08:20:47.625000000,ORCL,N,33.37,1752
2023-04-21D08:20:48.071000000,ORCL,N,33.37,3479
2023-04-21D08:20:48.212000000,DELL,N,28.67,3078
2023-04-21D08:20:50.119000000,DELL,N,28.67,3299
2023-04-21D08:20:51.035000000,DELL,N,28.67,2882
2023-04-21D08:20:52.847000000,YHOO,N,35.61,1618
2023-04-21D08:20:55.090000000,CSCO,L,37.36,581
2023-04-21D08:20:58.390000000,ORCL,N,33.36,2837
2023-04-21D08:21:12.743000000,CSCO,O,37.4,6457
2023-04-21D08:21:14.188000000,DELL,O,28.69,3251
2023-04-21D08:21:15.419000000,MSFT,L,34.44,4641
2023-04-21D08:21:18.018000000,CSCO,O,37.4,4812
2023-04-21D08:21:21.347000000,IBM,N,47.35,4280
2023-04-21D08:21:21.518000000,YHOO,O,35.65,420
2023-04-21D08:21:23.389000000,ORCL,N,33.28,90
2023-04-21D08:21:27.457000000,CSCO,N,37.4,1568
2023-04-21D08:21:35.473000000,NOK,O,30.88,5589
2023-04-21D08:21:37.376000000,MSFT,O,34.36,172
2023-04-21D08:21:39.166000000,MSFT,O,34.36,879
2023-04-21D08:21:40.239000000,IBM,N,47.41,1825
2023-04-21D08:21:46.287000000,DELL,L,28.65,3670
2023-04-21D08:21:48.738000000,CSCO,O,37.43,3218
2023-04-21D08:21:49.270000000,ORCL,O,33.29,2916
2023-04-21D08:21:55.312000000,YHOO,O,35.67,2411
2023-04-21D08:22:02.337000000,AAPL,L,25.4,1874
2023-04-21D08:22:04.624000000,MSFT,O,34.39,1814
2023-04-21D08:22:07.387000000,IBM,O,47.47,1080
2023-04-21D08:22:10.790000000,CSCO,L,37.43,945
2023-04-21D08:22:11.236000000,NOK,N,30.85,1127
2023-04-21D08:22:12.559000000,ORCL,O,33.33,2882
